Input_HuBMAP_ID,Found_CODEX_IDs
HBM244.TJLK.223,HBM339.LBCC.963
HBM267.BZKT.867,HBM946.WMTC.283
HBM337.FSXL.564,HBM279.RTXC.523
HBM342.FSLD.938,HBM496.ZJFC.554
HBM355.JDLK.244,HBM626.KXRZ.238
HBM374.LLKS.325,HBM443.TZCQ.232
HBM389.PKHL.936,HBM863.FDNH.844
HBM427.SMGB.866,HBM898.LWCS.878
HBM432.LLCF.677,HBM573.GQRD.788
HBM498.TCSV.345,HBM455.PWQW.883
HBM543.RSRV.265,HBM287.WDKX.539
HBM548.TSMP.663,HBM967.TGDD.996
HBM556.KSFB.592,HBM825.KFFT.669
HBM558.SRZG.629,HBM542.THBC.733
HBM568.NGPL.345,HBM528.NMQV.274
HBM647.MFQB.496,HBM893.FNLL.223
HBM659.XHFH.996,HBM783.JZRN.564
HBM687.CWVH.758,HBM452.ZQFK.527
HBM724.PJNC.827,HBM455.XDQS.993
HBM772.XXCD.697,HBM396.BXSQ.568
HBM825.PBVN.284,HBM495.VWBD.428
HBM882.DBTR.869,HBM327.NMZP.779
HBM968.CJLB.479,HBM594.PWXG.764
HBM987.XGTH.368,HBM732.GQLB.743
