Input_HuBMAP_ID,Found_CODEX_IDs
HBM723.BZKF.992,HBM332.QJCH.296
HBM927.KDXB.445,HBM435.FHMP.758
HBM283.GNGR.785,HBM387.QZQF.984
HBM483.KDBW.482,HBM673.TNZM.339
HBM457.JZFF.434,HBM443.FDHZ.888
HBM754.WKLP.262,HBM938.TNNT.879
HBM834.ZFVJ.978,HBM522.BSZT.385
HBM746.ZTBR.275,HBM622.JXWQ.554
HBM866.TGNJ.847,HBM268.NKXB.243
HBM958.GGVQ.546,HBM992.RHJW.288
HBM957.JXKN.887,HBM557.SGTC.262
HBM747.CQKL.785,HBM347.PSLC.425
HBM798.MXFT.837,HBM997.PVCF.629
HBM355.CZJX.599,HBM685.TBGN.663
HBM575.MTPD.997,HBM254.XGFQ.345
HBM623.TSMG.452,HBM362.RFHX.274
HBM426.LLTT.655,HBM585.SVFL.994
HBM869.VZJM.366,HBM989.VVXT.224
HBM342.JTKN.834,HBM545.FGNZ.644
HBM492.LXSS.627,HBM796.FXBG.243
HBM523.ZFKM.398,HBM437.XSFH.532
HBM573.VSJK.526,HBM822.MQNG.225
HBM279.TQRS.775,HBM695.NCKX.893
