HuBMAP ID
HBM979.JTRM.429
HBM892.HBJW.994
HBM757.VHCK.858
HBM288.XSQZ.633
HBM769.NBQL.534
HBM654.KTJK.968
HBM597.QSZV.956
HBM374.DMXZ.352
HBM339.XXWC.842
HBM588.FHDS.363
HBM246.VPVL.879
HBM277.GJFC.833
HBM376.QCCJ.269
